belongs_to_collection,genres,original_language,popularity,production_companies,release_date,runtime,status,title,vote_average,return
-1,2384,17,4,20124,7,2,4,A Tree Grows in Brooklyn,3,0.0
-1,3871,17,2,7287,7,0,4,The Beast with Five Fingers,2,0.0
-1,1715,17,3,14913,7,1,4,The Blue Dahlia,2,0.0
-1,3920,17,3,9754,7,0,4,The Dark Mirror,2,0.0
-1,2277,17,4,21816,7,2,4,Deception,1,0.0
-1,2277,17,4,3895,7,2,4,Great Expectations,3,0.0
-1,2222,17,3,21816,7,2,4,Humoresque,3,0.0
-1,2384,34,3,17646,7,1,4,Shoeshine,3,0.0
-1,1692,17,4,9755,7,1,4,The Stranger,3,0.0
-1,2384,17,1,15863,7,2,4,Mourning Becomes Electra,2,0.0
-1,2384,17,4,20124,7,2,4,Nightmare Alley,3,0.0
-1,2026,17,3,20150,7,2,4,Odd Man Out,3,0.0
1036,1599,17,2,14540,7,1,4,Road to Rio,2,0.0
-1,1711,17,2,21816,7,1,4,The Two Mrs. Carrolls,1,0.0
-1,469,17,3,1303,7,2,4,3 Godfathers,2,2.29
-1,3367,17,0,12442,7,2,4,B.F.'s Daughter,1,0.0
-1,2384,17,1,808,7,2,4,The Babe Ruth Story,0,0.0
-1,1379,17,3,12442,7,2,4,Easter Parade,2,0.0
-1,4063,17,4,15863,7,2,4,Fort Apache,2,1.2
-1,1694,17,4,4348,7,0,4,The Lady from Shanghai,3,0.0
-1,2384,17,3,20811,7,0,4,Letter from an Unknown Woman,3,0.0
-1,2384,17,2,-1,7,0,4,Louisiana Story,2,0.0
-1,1692,17,3,20915,7,1,4,The Naked City,3,0.0
-1,3105,17,3,12442,7,1,4,The Pirate,2,0.8
-1,2026,17,3,15863,7,1,4,They Live by Night,2,0.0
-1,3257,17,4,68,7,2,4,The Three Musketeers,2,0.0
-1,1552,17,3,20124,7,2,4,Unfaithfully Yours,3,0.0
-1,1771,17,3,20124,7,1,4,Yellow Sky,2,0.0
-1,1520,17,2,12442,7,2,4,The Barkleys of Broadway,3,0.0
-1,1520,17,1,12442,7,1,4,In the Good Old Summertime,2,0.0
-1,2277,17,2,20124,7,2,4,A Letter to Three Wives,2,0.0
1426,2084,24,3,7131,8,1,4,Orpheus,3,0.0
-1,2060,17,1,68,7,1,4,The Secret Garden,2,0.0
-1,2053,17,1,21816,7,1,4,The Story of Seabiscuit,0,0.0
-1,297,17,3,12442,8,2,4,Annie Get Your Gun,3,2.12
-1,2384,24,2,12273,8,2,4,Les Enfants Terribles,2,0.0
-1,4063,17,3,20124,8,0,4,The Gunfighter,2,0.0
59,168,17,3,12442,8,2,4,King Solomon's Mines,2,0.0
-1,1715,19,3,20285,8,0,4,Los Olvidados,3,0.0
-1,2384,36,2,17345,8,2,4,Scandal,2,0.0
-1,3105,17,3,12442,8,2,4,Summer Stock,2,0.0
-1,2384,34,2,15395,8,2,4,Europe '51,3,0.0
-1,1715,17,1,12442,8,1,4,Carbine Williams,2,0.0
-1,2277,17,3,14913,8,2,4,Carrie,1,0.0
-1,2384,17,2,15859,8,2,4,Clash by Night,2,0.0
-1,1023,17,2,12442,8,1,4,The Prisoner of Zenda,3,0.0
-1,2384,36,3,17329,8,2,4,The Life of Oharu,3,0.0
1429,1551,17,3,14913,8,1,4,Son of Paleface,2,0.0
-1,1501,17,3,20552,8,0,4,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,2,0.0
-1,1602,17,3,4420,8,0,4,Gun Fury,1,0.0
-1,2820,36,3,5160,8,0,4,Gate of Hell,2,0.0
-1,3840,17,0,20124,8,2,4,Man on a Tightrope,1,0.0
-1,1599,17,3,12465,8,0,4,The Titfield Thunderbolt,3,0.0
1153,1599,17,2,-1,8,1,4,The Belles of St. Trinian's,2,0.0
-1,2277,36,2,5160,8,1,4,The Crucified Lovers,3,0.0
-1,3303,24,1,7777,8,1,4,French Cancan,2,0.0
-1,1398,17,3,4420,8,0,4,It Should Happen to You,3,0.0
-1,1552,17,2,12442,8,1,4,"The Long, Long Trailer",3,0.0
-1,2277,17,4,20552,8,2,4,Magnificent Obsession,3,0.0
-1,2831,17,2,9766,8,1,4,Salt of the Earth,3,0.0
1064,1850,36,3,19448,8,1,4,Samurai I: Musashi Miyamoto,3,0.0
-1,2218,17,4,19590,8,2,4,A Star Is Born,3,0.0
-1,2384,17,2,20124,8,1,4,Three Coins in the Fountain,2,0.0
-1,2384,17,4,17986,8,0,4,The Wild One,3,0.0
-1,2384,17,3,12442,8,2,4,The Cobweb,0,0.0
-1,3105,17,2,12442,8,1,4,It's Always Fair Weather,3,0.0
-1,1737,17,3,2171,8,1,4,Mr. Arkadin,2,0.0
-1,2809,24,4,4186,8,0,4,Night and Fog,3,0.0
1064,1850,36,3,19448,8,2,4,Samurai II: Duel at Ichijoji Temple,3,0.0
-1,1350,17,2,14675,8,1,4,The Seven Little Foys,2,0.0
-1,2376,23,2,18403,8,2,4,The Unknown Soldier,3,0.0
-1,1523,17,0,-1,8,2,4,Anything Goes,3,0.0
-1,2221,36,3,13645,8,2,4,The Burmese Harp,3,0.0
-1,3114,17,3,20124,8,2,4,Carousel,1,0.0
1064,119,36,3,19448,8,2,4,Samurai III: Duel at Ganryu Island,3,0.0
-1,2997,36,2,19448,8,0,4,Rodan,1,0.0
-1,1599,17,1,5988,8,0,4,Barnacle Bill,1,0.0
-1,3194,17,2,1535,8,0,4,Chase a Crooked Shadow,3,0.0
-1,2997,17,2,880,8,0,4,Fiend Without a Face,1,0.0
-1,2222,17,4,12363,8,1,4,Jailhouse Rock,1,0.0
-1,2384,17,3,20552,8,2,4,Man of a Thousand Faces,2,0.0
-1,420,17,3,21816,8,2,4,The Spirit of St. Louis,2,0.0
-1,2699,17,2,16553,8,0,4,The Undead,0,0.0
-1,2360,17,3,3356,8,0,4,Zero Hour!,2,0.0
-1,2376,17,3,1083,8,2,4,Carve Her Name with Pride,1,0.0
-1,2192,17,2,880,8,0,4,Corridors of Blood,2,0.0
-1,1599,36,2,5160,8,1,4,Giants and Toys,1,0.0
-1,2384,17,1,4664,8,2,4,The Last Hurrah,3,0.0
-1,1609,17,2,953,8,0,4,Machine-Gun Kelly,2,0.0
-1,1552,17,3,15141,8,2,4,Teacher's Pet,2,0.0
-1,3980,17,1,12442,8,1,4,Torpedo Run,1,0.0
-1,104,17,3,2167,8,2,4,The Vikings,2,0.0
-1,80,17,3,815,8,2,4,Al Capone,3,0.0
-1,3316,24,1,4734,8,1,4,Picnic on the Grass,2,0.0
-1,2997,17,2,20461,8,0,4,Invisible Invaders,0,0.0
1357,3973,36,3,17432,8,2,4,The Human Condition II: Road to Eternity,3,0.0
-1,2376,36,3,5151,8,2,4,Fires on the Plain,3,0.0
-1,1936,17,4,19144,8,2,4,North West Frontier,3,0.0
-1,2384,17,3,21816,8,2,4,The Nun's Story,3,3.66
-1,1715,24,3,4728,8,0,4,Pickpocket,3,0.0
-1,2384,36,3,5160,8,2,4,Floating Weeds,3,0.0
-1,2277,17,2,21816,8,2,4,The Young Philadelphians,3,0.0
-1,2997,17,1,20552,9,0,4,The Leech Woman,0,0.0
-1,2384,36,2,19448,9,2,4,When a Woman Ascends the Stairs,3,0.0
-1,1936,17,1,21816,9,2,4,The Sundowners,2,0.0
-1,2150,17,0,5713,9,2,4,Sunrise at Campobello,2,0.0
-1,1711,36,3,19419,9,2,4,The Bad Sleep Well,3,0.0
-1,1552,17,2,12442,9,2,4,Bachelor in Paradise,3,0.0
-1,192,17,3,3373,9,1,4,The Deadly Companions,0,0.0
-1,2384,17,1,12442,9,2,4,The Four Horsemen of the Apocalypse,1,0.0
-1,2384,17,2,16553,9,0,4,The Intruder,2,0.0
-1,2011,17,4,12442,9,0,4,Murder She Said,3,0.0
1357,3973,36,3,17430,9,2,4,The Human Condition III: A Soldier's Prayer,3,0.0
-1,3355,17,3,15100,9,1,4,Paris Blues,1,0.0
-1,2971,17,2,8790,9,0,4,Taste of Fear,2,0.0
-1,2384,17,3,14200,9,2,4,Advise & Consent,3,0.0
-1,3367,17,3,21323,9,1,4,David and Lisa,2,0.0
-1,3032,17,2,6639,9,1,4,Eegah,0,0.22
-1,420,36,4,17432,9,2,4,Harakiri,3,0.0
-1,2384,17,3,22137,9,2,4,The Loneliness of the Long Distance Runner,3,0.0
-1,1513,17,3,21816,9,2,4,The Music Man,2,0.0
-1,844,17,4,12359,9,2,4,Mutiny on the Bounty,2,0.72
-1,2384,17,1,-1,9,0,4,An Occurrence at Owl Creek Bridge,3,0.0
-1,-1,34,2,-1,9,2,4,The Four Days of Naples,3,0.0
-1,2000,34,3,6634,9,2,4,Il Sorpasso,3,0.0
-1,2674,17,3,2172,9,2,4,The Wonderful World of the Brothers Grimm,1,0.0
52,3367,34,4,14936,9,2,4,L'eclisse,3,0.0
-1,1405,24,3,16589,9,0,4,Les Carabiniers,2,0.0
-1,2148,17,2,14200,9,2,4,The Cardinal,2,0.0
-1,3032,17,2,12864,9,0,4,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,0,0.0
-1,3032,17,2,8789,9,0,4,The Kiss of the Vampire,2,0.0
-1,1398,17,3,14544,9,1,4,Love with the Proper Stranger,2,0.0
-1,4063,17,4,20350,9,2,4,McLintock!,2,0.0
-1,2318,17,4,12442,9,0,4,Murder at the Gallop,2,0.0
-1,1552,17,1,14913,9,2,5,A New Kind of Love,2,0.0
-1,2223,17,2,16643,9,2,4,The Prize,2,0.0
-1,3316,17,2,17250,9,2,4,Sunday in New York,1,0.0
-1,250,24,3,8070,9,2,4,Crooks in Clover,3,0.0
-1,2360,17,2,3748,9,2,4,36 Hours,3,0.0
-1,2150,17,3,14788,9,2,4,Becket,3,0.0
-1,2376,17,2,4420,9,2,4,Behold a Pale Horse,0,0.0
-1,1408,17,1,20515,9,1,4,The Best Man,2,0.0
-1,1679,17,3,20102,9,2,4,"Hush... Hush, Sweet Charlotte",3,0.0
-1,1694,17,3,16376,9,1,4,The Killers,2,0.0
-1,1715,17,3,10891,9,1,4,The Naked Kiss,2,0.0
-1,3032,36,3,10405,9,2,4,Onibaba,3,0.0
-1,3047,17,3,21816,9,2,4,Robin and the 7 Hoods,2,0.0
-1,2298,17,3,14531,9,2,4,Robinson Crusoe on Mars,2,0.0
-1,1508,17,3,10756,9,0,4,Spider Baby,3,0.0
-1,2277,17,3,19896,9,1,4,The Visit,2,0.0
-1,1552,17,3,397,9,2,4,What a Way to Go!,3,0.0
-1,1599,74,2,18439,9,1,4,Docking the Boat,1,0.0
-1,2369,34,4,9389,9,2,4,The Battle of Algiers,3,1.15
-1,1150,17,4,21644,9,0,4,A Charlie Brown Christmas,3,0.0
365,3032,17,4,17249,9,1,4,Dracula: Prince of Darkness,2,1.3
-1,4063,17,4,19068,9,2,4,The Hallelujah Trail,2,0.0
-1,3929,17,4,2318,9,2,4,The Heroes of Telemark,1,0.0
-1,2376,17,3,12425,9,2,4,The Hill,3,0.0
-1,3980,17,3,14782,9,2,4,In Harm's Way,2,0.0
-1,3032,18,1,5323,9,0,4,Incubus,0,0.0
-1,1599,17,2,7173,9,2,4,The Loved One,2,0.0
-1,4001,17,3,4330,9,2,4,Major Dundee,2,0.0
-1,619,17,3,12442,9,2,4,Operation Crossbow,1,0.0
-1,4063,17,3,15668,9,0,4,Ride in the Whirlwind,1,0.0
-1,1398,17,1,8870,9,2,4,A Thousand Clowns,2,0.0
-1,457,17,3,11089,9,2,4,The Train,3,1.17
-1,2150,65,4,12904,9,2,4,Andrei Rublev,3,0.0
-1,2384,24,3,1300,9,1,4,Au Hasard Balthazar,3,0.0
-1,2397,17,4,19913,9,2,4,Batman,2,0.0
-1,131,17,4,3747,9,2,4,Grand Prix,2,0.0
-1,2846,17,3,10167,9,2,4,Khartoum,1,0.0
-1,193,87,3,20324,9,2,4,Dragon Inn,3,0.0
-1,3032,17,3,13753,9,0,4,Manos: The Hands of Fate,0,0.0
-1,1405,12,3,7069,9,0,4,Closely Watched Trains,3,0.0
-1,1872,36,3,13645,9,0,4,Tokyo Drifter,3,0.0
104,2406,24,4,2292,9,0,4,Asterix the Gaul,2,0.0
-1,2997,36,3,13645,9,1,4,"Gappa, the Triphibian Monster",0,0.0
-1,1831,17,3,5679,9,1,4,Dont Look Back,3,0.0
-1,2735,19,2,15554,9,1,4,Fando and Lis,2,0.0
-1,3840,17,2,12819,9,2,4,The Incident,1,0.0
-1,350,36,3,13645,9,1,4,Branded to Kill,3,0.0
-1,3185,24,3,11017,9,2,4,The Bride Wore Black,3,0.06
-1,1599,24,4,10126,9,2,4,PlayTime,3,0.0
-1,348,17,4,12441,9,1,4,Point Blank,3,1.28
-1,4063,17,3,15668,9,0,4,The Shooting,2,0.0
-1,2121,17,3,11511,9,1,4,The St. Valentine's Day Massacre,1,0.0
-1,1845,17,2,-1,9,0,4,Titicut Follies,3,0.0
-1,1746,17,3,1278,9,2,4,Tony Rome,2,0.0
-1,1398,17,4,20093,9,2,4,Two for the Road,3,0.0
-1,2384,17,1,14952,9,2,4,Up the Down Staircase,2,0.0
-1,4063,17,3,20604,9,1,4,The War Wagon,2,0.0
104,2406,24,4,2292,9,0,4,Asterix and Cleopatra,3,0.0
-1,733,65,3,12904,9,1,4,The Diamond Arm,3,0.0
365,3032,17,3,8790,9,1,4,Dracula Has Risen from the Grave,2,0.0
-1,1471,17,3,16061,9,0,4,Head,2,0.0
-1,2384,17,3,21822,9,2,4,The Heart Is a Lonely Hunter,3,0.0
-1,1552,17,3,21822,9,1,4,"I Love You, Alice B. Toklas!",1,0.0
-1,3367,17,4,21820,9,2,4,Petulia,1,0.0
-1,2384,17,1,12442,9,2,4,The Subject Was Roses,3,0.0
-1,1831,17,2,5032,9,2,4,Sympathy for the Devil,2,0.0
-1,3971,65,3,12904,9,2,4,War and Peace,3,0.0
-1,1350,17,3,5437,9,2,4,"Yours, Mine and Ours",2,0.0
-1,1972,17,3,6173,9,2,4,Alice's Restaurant,1,0.0
-1,2111,17,3,-1,9,2,4,Camille 2000,2,0.0
-1,3558,17,3,20937,10,1,4,Colossus: The Forbin Project,3,0.0
-1,4063,34,3,20469,9,2,4,Death Rides a Horse,3,0.0
-1,2218,17,2,12350,9,2,4,"Goodbye, Mr. Chips",3,0.0
-1,3561,17,4,3589,9,1,4,Journey to the Far Side of the Sun,2,0.0
-1,2384,17,2,851,9,1,4,Last Summer,0,0.0
-1,1408,24,3,11022,9,2,4,My Night at Maud's,3,0.0
-1,1599,17,2,4709,9,1,4,The Magic Christian,1,0.0
-1,1738,17,3,3746,9,1,4,Marlowe,2,0.0
-1,3340,17,2,11050,9,2,4,More,2,0.0
-1,1408,17,3,17714,9,2,4,The Reivers,1,0.0
365,3032,17,3,8790,10,1,4,Taste the Blood of Dracula,1,0.0
-1,1408,12,2,7069,9,0,4,The Joke,2,0.0
-1,1919,17,2,12442,10,1,4,...tick... tick... tick...,2,0.0
-1,2598,17,3,11292,10,2,4,Brewster McCloud,2,0.0
-1,368,34,2,7401,10,1,4,Violent City,3,0.0
-1,1598,17,2,12442,10,1,4,Dirty Dingus Magee,1,0.0
-1,2384,36,3,19447,10,2,4,Dodes'ka-den,2,0.0
487,181,36,0,5160,10,0,4,Gamera vs. Jiger,1,0.0
-1,2277,24,3,11067,10,2,4,Claire's Knee,3,0.0
-1,1408,17,3,21899,10,0,4,"Hi, Mom!",1,0.0
-1,2198,17,3,12442,10,1,4,House of Dark Shadows,2,0.0
-1,2277,74,0,6497,10,2,4,A Swedish Love Story,3,0.0
-1,2000,17,2,19066,10,2,4,The Landlord,1,0.0
-1,395,17,3,14913,10,2,4,On a Clear Day You Can See Forever,1,0.0
-1,1684,17,3,8427,10,1,4,Performance,3,0.0
-1,1599,60,2,14256,10,0,4,A Trip Down the River,3,0.0
-1,2384,19,0,9814,10,1,4,Long Live Death,2,0.0
-1,381,65,3,12888,10,0,4,The White Sun of the Desert,3,0.0
-1,2277,17,4,12442,10,2,4,Zabriskie Point,3,0.14
-1,2274,17,4,11935,10,2,4,The Beguiled,3,0.0
-1,2150,17,3,16699,10,2,4,The Devils,3,0.0
-1,3580,17,4,20966,10,0,4,Duel,3,0.0
-1,3709,17,2,20965,10,1,4,Evil Roy Slade,1,0.0
-1,2277,17,3,5948,10,2,4,The Go-Between,2,0.0
-1,3980,17,3,22158,10,2,4,Johnny Got His Gun,3,0.0
-1,642,17,3,17029,10,1,4,Lawman,2,0.0
-1,2970,17,3,14872,10,0,4,Let's Scare Jessica to Death,2,0.0
1560,329,34,4,21901,10,2,4,They Call Me Trinity,3,0.0
-1,1408,24,0,13962,10,2,4,Mon oncle Antoine,3,0.0
-1,1552,17,3,14627,10,1,4,A New Leaf,3,0.0
-1,3365,17,3,4664,10,2,4,Nicholas and Alexandra,3,0.0
-1,3960,17,1,-1,10,1,4,Von Richthofen and Brown,2,0.0
365,3032,17,3,8790,10,1,4,Scars of Dracula,1,0.0
-1,329,17,3,-1,10,1,4,Support Your Local Gunfighter,2,0.0
-1,444,17,2,22254,10,1,4,Sweet Sweetback's Baadasssss Song,0,101.33
-1,130,19,4,15554,10,2,4,El Topo,3,0.0
1307,865,74,3,18441,10,2,4,The Emigrants,2,0.0
-1,2997,17,0,9524,10,0,4,Blood of Ghastly Horror,0,0.0
-1,2298,17,2,4292,10,1,4,Brother John,2,0.0
363,1508,17,3,970,10,0,4,Dr. Phibes Rises Again,2,0.0
365,3032,17,4,8790,10,1,4,Dracula A.D. 1972,1,0.0
-1,1599,17,0,537,10,1,4,Get to Know Your Rabbit,3,0.0
1482,1532,24,3,8108,10,1,4,The Tall Blond Man with One Black Shoe,3,0.0
761,1919,36,3,10310,10,0,4,Lone Wolf and Cub: Sword of Vengeance,3,0.0
761,470,36,3,10310,10,0,4,Lone Wolf and Cub: Baby Cart at the River Styx,3,0.0
-1,3355,17,4,14759,10,2,4,Lady Sings the Blues,3,0.0
-1,2222,17,0,-1,10,2,4,Payday,1,0.0
-1,3784,17,2,12431,10,1,4,Slither,0,0.0
-1,1599,24,3,10968,10,1,4,Trafic,3,0.0
-1,1599,24,4,10997,10,1,4,The Mad Adventures of Rabbi Jacob,3,0.0
-1,348,17,4,20937,10,2,4,Charley Varrick,3,0.0
-1,1567,17,3,20974,10,0,4,Dark Star,1,0.0
-1,2116,17,0,-1,10,2,4,A Delicate Balance,1,0.0
-1,2998,17,2,10766,10,1,4,Bram Stoker's Dracula,2,0.0
-1,815,17,3,19978,10,2,4,Emperor of the North,2,0.0
-1,338,17,3,21450,10,1,4,Executive Action,2,0.0
-1,2384,17,0,-1,10,1,4,The Glass Menagerie,2,0.0
904,1598,34,4,15929,10,2,4,My Name Is Nobody,3,0.0
-1,2995,17,4,17225,10,0,4,Invasion of the Bee Girls,0,0.0
-1,3032,17,2,2476,10,0,4,Lemora: A Child's Tale of the Supernatural,2,0.0
-1,3868,17,3,14512,10,0,4,Phase IV,1,0.0
-1,2384,17,2,14638,10,1,4,Save the Tiger,3,0.0
-1,2360,17,4,21816,10,2,4,Scarecrow,2,0.0
-1,3028,17,4,15473,10,1,4,Sisters,2,0.0
-1,391,17,0,2576,10,1,4,The Spook Who Sat by the Door,3,0.0
-1,1508,17,4,3964,10,2,4,Theatre of Blood,2,0.0
-1,643,87,2,17304,10,2,4,Five Fingers of Death,2,0.0
-1,2277,57,3,21091,10,2,4,Turkish Delight,3,0.0
1606,350,17,3,2416,10,2,4,Walking Tall,2,0.0
-1,2384,17,0,-1,10,2,4,Butley,3,0.0
-1,1408,17,3,4415,10,2,4,California Split,2,0.0
-1,1530,17,3,16674,10,0,4,The Cars That Ate Paris,1,0.0
-1,2384,17,2,20124,10,2,4,Conrack,3,0.0
-1,2997,34,3,7321,10,1,4,The Living Dead at Manchester Morgue,2,0.0
398,2277,24,4,19749,10,0,4,Emmanuelle,0,0.0
-1,2000,24,3,8580,10,2,4,The Phantom of Liberty,3,0.0
-1,3032,17,3,2675,10,1,4,Flesh for Frankenstein,1,0.0
-1,1813,17,1,-1,10,1,4,General Idi Amin Dada,2,0.0
517,348,17,3,8747,10,2,4,Gone in 60 Seconds,2,0.0
-1,1599,17,2,18499,10,0,4,The Groove Tube,1,0.0
-1,2000,17,3,20124,10,2,4,Harry and Tonto,3,0.0
-1,1843,17,2,1913,10,2,4,Hearts and Minds,3,0.0
-1,2384,17,3,15560,10,2,4,The Holy Mountain,3,0.0
-1,3521,17,4,14913,10,0,4,The Little Prince,1,0.0
-1,3558,17,3,21816,10,2,4,The Terminal Man,2,0.0
-1,2248,17,3,10046,10,2,4,Thieves Like Us,2,0.0
-1,1301,17,3,20124,10,1,4,The Adventure of Sherlock Holmes' Smarter Brother,2,0.0
849,2060,17,3,-1,10,2,4,The Adventures of the Wilderness Family,0,0.0
-1,3316,24,1,10996,10,1,4,"Cousin, Cousine",3,0.0
353,250,17,2,4679,10,1,4,Dolemite,1,0.0
104,2408,24,4,5220,10,0,4,The Twelve Tasks of Asterix,3,0.0
398,2277,24,3,19751,10,0,4,Emmanuelle II,0,0.0
-1,1746,17,3,9323,10,1,4,"Farewell, My Lovely",2,0.8
-1,1306,17,2,4408,10,0,4,The Fortune,1,0.0
470,348,17,4,20124,10,2,4,French Connection II,2,0.0
-1,131,17,4,20958,10,2,4,The Great Waldo Pepper,1,0.0
-1,2139,24,3,11018,10,1,4,The Story of Adele H,3,0.0
1685,1977,65,3,12904,10,2,4,"The Irony of Fate, or Enjoy Your Bath!",3,0.0
-1,3920,17,3,21749,10,1,4,Night Moves,2,0.0
-1,3840,34,4,10957,10,2,4,The Passenger,3,0.0
-1,643,87,3,8373,10,1,4,Hand of Death,2,0.0
1464,470,36,1,19393,10,0,4,Sister Street Fighter,3,0.0
1600,1599,17,3,-1,10,2,4,Supervixens,2,0.0
1557,3028,17,2,349,10,0,4,Trilogy of Terror,2,0.0
-1,2139,34,4,14885,10,2,4,1900,3,0.0
-1,2000,24,3,11020,10,2,4,Small Change,3,0.0
-1,3980,65,2,10886,10,1,4,Twenty Days Without War,2,0.0
-1,1598,17,3,20390,10,1,4,From Noon Till Three,1,0.0
1624,179,17,4,970,10,2,4,Futureworld,1,0.0
-1,1845,17,2,3046,10,2,4,Harlan County U.S.A.,3,0.0
-1,1599,17,2,13541,10,0,4,Hollywood Boulevard,2,0.0
-1,2831,15,2,8099,10,1,4,The Marquise of O,2,0.0
-1,2277,24,2,8100,10,2,4,Mistress,1,0.0
-1,806,17,4,7000,10,2,4,The Message,3,0.0
-1,2383,17,3,20373,10,2,4,The Missouri Breaks,2,0.0
-1,2277,65,1,12904,10,1,4,A Slave of Love,1,0.0
-1,1304,17,4,19962,10,2,4,Silver Streak,2,7.86
1600,1599,17,3,-1,10,0,4,Up!,1,0.0
-1,2970,19,3,15110,10,2,4,Who Can Kill a Child?,2,0.0
-1,1831,17,2,15347,10,1,4,ABBA - The Movie,2,0.0
-1,2997,17,3,12442,10,1,4,Demon Seed,1,0.0
-1,1523,17,4,19907,10,1,4,High Anxiety,2,9.14
-1,1977,24,4,11020,10,2,4,The Man Who Loved Women,3,0.0
-1,2159,17,1,-1,10,0,4,The Hound of the Baskervilles,1,0.0
-1,2384,19,0,4764,10,2,4,Place without Limits,3,0.0
-1,2218,17,4,20360,10,2,4,"New York, New York",2,0.0
-1,2384,17,2,4100,10,2,4,Providence,3,0.0
-1,582,17,4,14888,10,2,4,Sorcerer,3,0.55
-1,2277,17,2,19973,10,2,4,The Turning Point,1,0.0
1449,1599,17,3,-1,10,0,4,The Rutles: All You Need Is Cash,2,0.0
-1,470,17,2,12442,10,2,4,Brass Target,2,0.0
-1,1908,17,4,1537,10,2,4,Capricorn One,2,0.0
-1,643,87,3,17310,10,1,4,The Five Venoms,2,0.0
-1,1845,17,3,8034,10,0,4,Gates of Heaven,2,0.0
-1,470,11,1,8376,10,2,4,Last Hurrah for Chivalry,3,0.0
-1,1599,17,2,-1,10,1,4,Harper Valley P.T.A.,3,0.0
1387,719,17,4,16035,10,0,4,The Hobbit,1,0.0
-1,2277,17,3,-1,10,2,4,In Praise Of Older Women,3,0.0
-1,2997,17,0,4161,10,1,4,Parts: The Clonus Horror,0,0.0
-1,3032,24,2,7089,10,1,4,The Grapes of Death,2,0.0
-1,1599,74,2,18439,10,2,4,The Adventures of Picasso,3,0.0
-1,330,11,4,17145,10,1,4,Snake in the Eagle's Shadow,3,0.0
-1,1408,17,2,65,10,2,4,A Wedding,2,0.0
-1,1845,17,0,-1,10,2,4,Best Boy,0,0.0
471,1599,24,4,19750,10,1,4,French Fried Vacation 2,3,0.0
-1,1313,24,2,16941,10,0,4,Buffet Froid,2,0.0
-1,1965,17,4,20354,10,2,4,Hair,3,0.0
-1,3820,24,4,1174,10,2,4,I as in Icarus,3,0.0
-1,70,17,3,21816,10,2,4,The In-Laws,2,4.24
-1,3311,17,3,12275,10,1,4,Love at First Bite,1,0.0
-1,2384,34,3,6742,10,2,4,La Luna,3,0.0
-1,2384,17,3,6619,10,2,4,Opening Night,3,0.0
-1,2231,17,2,11302,10,2,4,Quintet,1,0.0
-1,1874,17,1,16535,10,1,4,Rockers,2,0.0
-1,1552,17,1,14913,10,2,4,Starting Over,3,0.0
-1,2060,74,3,-1,11,2,4,Children's Island,2,0.0
-1,3727,17,3,13199,11,2,4,Defiance,2,0.0
-1,770,17,3,-1,11,2,4,The Hitch Hikers Guide to the Galaxy,3,0.0
-1,1845,17,0,-1,11,1,4,Genocide,0,0.0
-1,3368,74,1,16915,11,0,4,Peter-No-Tail,1,19.6
-1,131,17,2,14310,11,2,4,Treasure of the Yankee Zephyr,1,0.0
-1,-1,17,3,-1,11,2,4,Smiley's People,3,0.0
-1,438,17,2,6046,11,2,4,The Scarlet Pimpernel,2,0.0
-1,1711,17,3,5948,11,2,4,Bad Boys,2,0.0
134,1138,36,3,8171,11,0,4,Barefoot Gen,3,0.0
-1,3451,17,4,4379,11,2,4,Blue Thunder,1,1.92
-1,733,17,3,-1,11,1,4,D.C. Cab,1,0.0
-1,3696,17,4,351,11,2,4,The Day After,2,0.0
-1,1599,17,3,21706,11,1,4,Deal of the Century,0,0.0
-1,1599,17,4,6476,11,0,4,Doctor Detroit,0,0.0
-1,1599,17,4,8696,11,0,4,Eddie Murphy: Delirious,3,0.0
-1,3753,19,3,3650,11,2,4,El Norte,2,0.0
-1,2277,17,2,-1,11,2,4,Lianna,1,0.0
-1,2150,36,3,13171,11,2,4,"Merry Christmas, Mr. Lawrence",3,0.0
-1,1520,17,3,-1,11,2,4,The Pirates of Penzance,1,0.0
-1,575,34,2,16208,11,1,4,The Raiders of Atlantis,2,0.0
-1,1955,24,3,7106,11,0,4,First Name: Carmen,3,0.0
-1,17,17,3,13217,11,0,4,Rock & Rule,2,0.0
-1,2048,24,0,13084,11,2,4,Sugar Cane Alley,2,0.0
-1,77,17,4,20937,11,1,4,Rumble Fish,2,0.25
-1,2111,36,2,-1,11,2,4,The Makioka Sisters,3,0.0
-1,2384,17,3,21794,11,2,4,Star 80,2,0.0
-1,348,17,4,19963,11,2,4,The Star Chamber,1,0.0
-1,2965,17,3,5947,11,1,4,Strange Invaders,1,0.0
-1,330,17,4,20922,11,1,4,Stroker Ace,0,0.0
-1,1599,17,4,19882,11,2,4,To Be or Not to Be,3,0.0
-1,2072,17,4,21816,11,1,4,Twilight Zone: The Movie,2,2.95
-1,1686,57,3,16503,11,1,4,The Fourth Man,2,0.0
-1,2222,17,3,13541,11,1,4,Suburbia,2,0.0
-1,1261,17,4,8965,11,1,4,Yellowbeard,1,0.0
-1,3194,24,3,18575,11,2,4,One Deadly Summer,3,0.0
-1,2277,17,3,5996,11,1,4,Another Country,1,0.0
-1,2277,24,2,513,11,1,4,Boy Meets Girl,3,0.0
-1,1398,17,2,-1,11,2,4,Choose Me,1,0.0
